t,mean_cAMP,max_cAMP,min_cAMP,gradient_index,stimulus
0,0.1,0.1,0.1,0,0
0.05,0.097309682,0.09736024,0.097001127,0.0036904141,0
0.1,0.094677095,0.094775307,0.094125908,0.0068590852,0
0.15,0.092101625,0.09224468,0.091354531,0.0096648619,0
0.2,0.089582646,0.089767824,0.088674854,0.012200685,0
0.25,0.087119515,0.087344183,0.086078814,0.014524519,1
0.3,0.23368595,0.61250981,0.083560608,2.2635045,1
0.35,0.37917932,1.0808525,0.081115825,2.6365801,1
0.4,0.52412101,1.5193453,0.07874126,2.7486096,1
0.45,0.66868197,1.9410474,0.076436152,2.7884875,1
0.5,0.81294246,2.3516209,0.074205659,2.801447,1
0.55,0.95694756,2.7538611,0.072065822,2.8024475,1
0.6,1.1007255,3.1500204,0.070047835,2.7981295,1
0.65,1.2442954,3.5388832,0.068199932,2.7892761,1
0.7,1.3876708,3.9230137,0.066586519,2.7790649,1
0.75,1.5308619,4.299983,0.065285239,2.7662181,1
0.8,1.6738763,4.6719905,0.064383024,2.752657,1
0.85,1.8167203,5.0375203,0.063972026,2.7376521,1
0.9,1.9593987,5.3970847,0.064146027,2.7217221,1
0.95,2.1019154,5.7514559,0.064997616,2.7053697,1
1,2.244274,6.0990932,0.066616182,2.6879415,1
1.05,2.3864772,6.4421366,0.069086643,2.6704844,1
1.1,2.5285276,6.7794202,0.072488778,2.6525047,1
1.15,2.6704276,7.1107522,0.076896995,2.6339809,1
1.2,2.8121795,7.4376823,0.082380402,2.6155165,1
1.25,2.9537854,7.7594403,0.089003048,2.596816,1
1.3,3.0952477,8.0759346,0.096824251,2.5778585,1
1.35,3.2365684,8.3877387,0.10589894,2.5588335,1
1.4,3.3777502,8.6953891,0.11627798,2.5398892,1
1.45,3.5187953,8.998371,0.12800842,2.5208521,1
1.5,3.6597065,9.2968737,0.14113369,2.5017689,1
1.55,3.8004865,9.5912549,0.15569379,2.4827245,1
1.6,3.9411382,9.8819023,0.17172531,2.4638002,1
1.65,4.0816644,10.168552,0.18926148,2.4449071,1
1.7,4.2220681,10.451353,0.20833226,2.4260671,1
1.75,4.3623525,10.730447,0.22896423,2.407298,1
1.8,4.5025205,11.006115,0.25118069,2.3886474,1
1.85,4.6425753,11.278427,0.27500158,2.3701124,1
1.9,4.78252,11.547401,0.30044356,2.3516802,1
1.95,4.9223573,11.81315,0.32752004,2.3333597,1
2,5.0620904,12.075782,0.35624122,2.3151583,1
